age,income,past_spend,days_since_active,device_mobile,promo_email,outcome_ltv
41.0,59406.01,193.76,15,1,0,70.88
33.0,58664.65,54.36,18,0,0,109.46
43.0,25108.92,37.26,16,1,0,38.67
53.0,61747.75,49.51,17,1,0,146.52
32.0,88320.73,437.18,16,1,0,237.33
32.0,38144.2,26.52,15,0,1,165.18
54.0,96212.07,205.44,17,1,0,237.7
44.0,82194.37,699.59,17,0,0,266.99
29.0,51644.17,174.32,12,1,0,98.77
42.0,66461.76,720.5,21,1,0,176.73
29.0,109958.05,684.16,10,1,0,316.49
29.0,88338.7,141.07,19,1,0,201.72
38.0,70219.59,652.49,14,1,0,173.59
18.0,64057.92,688.72,18,1,0,265.07
18.0,71915.23,253.3,20,1,0,215.4
28.0,57205.91,118.13,10,1,0,113.24
23.0,20000.0,368.31,20,0,0,76.41
39.0,121054.45,1271.68,12,1,1,634.92
24.0,73883.12,510.29,13,1,1,330.16
18.0,79953.68,94.93,12,0,0,215.18
53.0,68552.31,574.04,21,1,0,172.06
32.0,51622.08,278.61,11,1,1,216.43
36.0,65351.89,447.67,11,0,0,279.04
18.0,30015.13,662.25,15,1,0,151.92
28.0,126927.16,361.75,15,0,0,306.48
36.0,39137.2,840.96,11,1,1,249.22
21.0,44200.84,640.35,17,1,0,295.71
40.0,58993.52,477.35,17,1,0,183.71
28.0,102201.89,81.73,13,1,0,195.07
31.0,70362.72,903.79,14,1,0,220.34
28.0,39096.61,1373.7,13,1,0,278.6
57.0,101358.46,73.65,10,0,0,168.66
35.0,88275.02,334.95,18,0,0,246.57
22.0,83460.87,149.8,16,0,0,163.71
45.0,87893.36,702.28,9,0,0,185.08
20.0,129859.05,639.4,18,1,0,288.65
38.0,124627.37,75.93,10,0,0,288.22
18.0,52832.12,1047.9,17,1,0,296.21
19.0,110597.12,99.82,13,1,0,300.84
37.0,79579.2,797.91,11,0,1,350.66
44.0,82477.4,305.3,14,1,0,266.09
37.0,27693.23,198.95,17,0,0,73.44
34.0,65740.36,86.13,12,1,1,179.2
31.0,49679.41,91.73,19,1,0,121.59
18.0,90701.47,542.19,13,1,1,303.53
26.0,96777.01,399.73,8,1,1,428.19
29.0,20000.0,65.1,14,0,0,108.8
48.0,69449.13,59.78,12,0,0,126.88
39.0,98046.54,37.53,9,1,1,355.11
18.0,65333.03,680.83,12,1,0,231.55
39.0,88226.59,622.19,21,1,0,290.27
30.0,78779.14,30.1,14,0,0,120.32
27.0,78541.51,410.8,21,1,0,236.14
42.0,63217.13,44.24,14,0,0,87.02
47.0,39585.48,1170.38,13,1,1,312.47
46.0,41961.75,1188.21,12,0,1,338.25
25.0,87733.81,599.05,24,1,1,316.66
31.0,70486.46,1303.12,11,1,0,360.24
39.0,66537.19,834.2,12,1,0,163.79
47.0,59402.75,881.7,20,0,0,271.95
29.0,62370.28,421.65,7,0,0,274.83
33.0,96172.79,182.68,16,1,0,245.9
22.0,61618.9,122.82,15,1,0,145.74
21.0,36473.38,198.15,20,0,0,118.38
45.0,88591.29,495.1,19,0,0,208.5
51.0,64878.08,94.77,17,1,0,286.46
34.0,70784.9,149.63,11,1,0,155.21
47.0,110189.46,315.61,13,1,0,341.81
39.0,69485.99,132.67,12,0,0,141.18
27.0,77229.59,444.15,14,1,0,300.71
39.0,40526.91,1283.12,7,1,0,345.98
53.0,64508.26,689.34,20,1,1,302.53
35.0,85238.15,548.95,26,1,0,237.7
54.0,31115.66,437.0,15,1,0,78.1
18.0,75021.13,334.66,13,1,0,153.73
45.0,72519.78,103.24,16,1,0,188.26
36.0,71032.19,1125.52,16,0,0,345.53
31.0,95928.97,142.87,14,0,0,200.73
36.0,78360.96,47.88,23,1,0,275.91
18.0,106951.8,693.18,12,1,0,278.71
32.0,45160.26,96.56,19,1,0,123.45
39.0,73398.11,232.52,8,0,0,215.65
53.0,72111.67,14.35,15,0,0,160.58
29.0,43268.64,73.71,24,0,0,-6.28
25.0,93907.38,95.1,18,0,0,180.37
29.0,128116.83,27.97,12,1,0,295.01
46.0,69574.85,534.51,15,1,0,207.8
39.0,82625.53,907.03,12,1,0,313.76
29.0,72112.96,233.66,15,0,0,225.43
41.0,52160.38,1038.03,11,1,0,224.12
36.0,24480.99,119.98,13,0,0,36.84
47.0,52355.66,196.81,18,0,0,215.81
27.0,35201.04,81.69,13,0,0,34.8
31.0,112602.55,484.53,23,1,0,247.89
30.0,67122.26,272.25,10,1,1,238.45
18.0,61352.02,475.03,15,0,0,227.53
39.0,92228.85,717.06,7,1,1,468.47
38.0,41956.22,394.5,21,1,0,122.68
35.0,50828.4,493.93,15,0,0,182.54
32.0,71701.81,1368.61,14,0,1,416.81
18.0,95719.22,177.67,16,1,0,317.41
30.0,82542.13,222.49,11,0,0,126.65
31.0,76208.13,632.4,9,1,1,383.13
25.0,71952.94,472.48,13,1,1,330.75
33.0,80005.9,98.33,16,1,0,169.3
40.0,75041.32,235.92,13,0,0,213.99
58.0,44250.69,315.4,11,1,0,185.08
37.0,71151.98,271.84,14,1,0,220.65
38.0,43157.78,98.17,18,1,0,218.06
34.0,72027.06,1291.35,16,0,1,390.04
18.0,57983.8,718.41,19,1,0,201.15
35.0,133484.54,328.27,17,1,0,306.73
36.0,69002.64,569.81,17,1,0,238.64
65.0,34894.01,1137.89,16,1,0,199.97
33.0,66645.49,73.19,14,1,0,163.27
39.0,82983.97,144.09,14,0,0,203.27
35.0,111834.1,391.21,14,1,0,278.06
21.0,55263.69,802.25,18,0,0,174.32
49.0,30439.3,18.46,8,1,0,117.63
44.0,90420.93,2068.15,20,1,0,383.4
44.0,35485.03,303.4,13,1,0,155.99
24.0,59096.11,222.54,12,1,0,171.98
52.0,63559.49,173.17,14,0,0,147.11
18.0,68259.16,95.8,15,0,0,244.34
42.0,87229.11,784.09,20,1,0,257.75
61.0,52909.14,1555.17,14,1,0,314.48
23.0,63156.77,266.91,15,1,1,227.11
28.0,69643.24,1522.68,15,1,1,303.32
36.0,73739.95,868.06,14,0,0,227.94
29.0,72445.68,327.97,14,0,0,92.82
18.0,80900.14,560.47,18,1,0,220.0
36.0,91095.99,285.45,18,1,0,298.17
22.0,79815.85,409.04,14,1,0,177.27
41.0,81339.64,29.9,17,0,0,76.37
24.0,30444.42,595.8,18,1,0,209.48
54.0,71255.69,27.14,18,1,0,135.46
26.0,81987.69,849.37,17,1,0,264.13
31.0,88223.53,871.33,17,1,0,318.99
45.0,52691.23,135.3,15,1,0,165.07
20.0,53524.02,195.53,20,0,0,174.13
38.0,55647.48,328.22,13,0,0,213.14
51.0,83410.35,453.99,16,1,1,238.48
18.0,95847.03,169.39,19,1,0,149.92
37.0,59813.5,448.84,15,1,0,243.07
38.0,92699.06,176.76,13,0,0,187.99
44.0,73087.0,28.54,15,1,0,135.4
20.0,66892.86,1.27,14,0,0,92.77
19.0,64715.39,53.32,15,0,0,134.52
41.0,88665.28,785.71,17,1,0,254.44
39.0,78139.45,1627.66,15,1,1,388.53
38.0,126895.64,278.41,18,0,0,242.98
39.0,48694.38,359.42,15,1,0,169.26
27.0,82952.54,79.41,14,1,1,262.5
38.0,56769.97,400.4,20,1,0,133.26
39.0,48267.83,78.13,19,1,0,7.03
26.0,69728.32,472.36,10,0,0,313.6
57.0,73433.81,1353.47,21,1,0,337.31
41.0,142954.34,108.89,14,1,0,294.06
21.0,65396.35,723.16,16,0,0,176.15
43.0,41745.53,11.89,11,1,1,171.03
23.0,76825.27,235.4,16,0,0,194.36
44.0,20000.0,58.69,13,1,0,6.07
49.0,67701.08,217.3,19,1,0,41.61
25.0,70400.63,95.3,14,1,0,146.03
47.0,89865.01,233.65,13,0,0,148.93
40.0,94340.56,270.23,10,0,0,254.27
45.0,57410.76,178.76,15,1,1,234.08
58.0,66234.65,534.46,12,0,0,163.25
32.0,50846.98,1255.74,8,0,0,234.54
26.0,41798.44,255.91,10,1,0,227.34
24.0,77747.37,106.81,14,1,0,226.93
25.0,38160.36,157.85,9,1,0,101.49
34.0,59634.33,962.08,14,1,0,352.07
39.0,45120.65,423.9,15,1,0,92.78
38.0,83742.08,303.49,12,1,0,183.2
45.0,115035.75,81.05,14,1,0,254.65
35.0,37460.3,298.67,18,1,0,42.24
52.0,23674.54,163.21,13,1,0,177.19
32.0,66877.83,1433.79,15,1,0,306.29
68.0,70392.44,1077.38,15,1,1,303.1
43.0,75466.48,43.82,14,1,0,199.7
25.0,58841.99,363.51,13,0,1,269.32
22.0,64984.02,127.48,12,1,0,153.48
41.0,79187.76,264.48,13,1,0,148.4
32.0,96010.77,1047.17,18,1,0,238.93
44.0,21123.78,374.87,7,1,0,225.08
41.0,60776.51,203.39,18,0,0,88.26
34.0,75345.22,116.53,16,1,0,265.24
25.0,47050.6,805.53,14,1,0,154.42
18.0,113279.24,489.77,13,1,0,339.04
30.0,54114.75,315.62,18,1,0,177.06
45.0,68967.68,122.62,13,1,0,207.47
38.0,83900.55,203.42,17,1,0,240.74
20.0,55217.88,1607.48,17,1,0,206.61
37.0,23835.67,367.08,11,0,1,121.36
40.0,59283.64,256.0,11,1,0,103.76
24.0,95736.01,368.47,12,1,0,263.78
37.0,61577.62,754.77,17,1,0,148.47
36.0,48839.14,207.84,20,0,0,29.41
21.0,93141.81,98.44,5,1,0,224.25
39.0,61730.63,439.66,12,1,0,82.97
42.0,57245.98,547.12,8,1,0,216.14
48.0,73736.4,623.65,13,1,0,170.96
48.0,89268.76,1068.48,11,1,0,271.36
18.0,129542.84,231.95,16,0,0,186.26
24.0,90680.9,39.17,18,1,0,281.78
41.0,98996.0,1589.21,17,0,0,299.77
41.0,57350.85,285.48,21,1,0,133.05
41.0,44353.3,488.1,6,0,0,85.93
80.0,71558.28,548.76,16,1,0,174.21
42.0,72679.25,395.4,16,1,1,379.74
49.0,43037.18,114.87,12,0,0,138.44
46.0,65617.64,703.54,7,1,1,281.3
43.0,79982.94,814.19,17,0,0,255.68
31.0,79009.83,402.57,16,1,0,188.25
44.0,82607.2,335.26,9,0,0,226.12
26.0,77274.12,60.48,13,1,0,221.79
32.0,57324.78,43.84,11,0,0,130.48
29.0,57152.48,207.43,19,1,0,158.05
36.0,40026.22,186.15,11,1,0,138.49
63.0,114619.38,1535.84,18,0,0,380.52
18.0,70336.26,765.37,9,0,0,212.41
43.0,64378.67,539.29,13,1,0,180.43
18.0,46780.2,364.54,10,1,0,194.97
29.0,143391.45,91.58,16,1,0,353.06
48.0,43166.8,1918.84,12,1,0,247.33
36.0,59278.8,235.03,9,1,0,161.01
22.0,80395.92,56.54,10,0,1,265.66
26.0,85005.32,340.41,11,1,0,272.05
43.0,93948.3,1035.73,17,1,1,393.78
26.0,115190.21,1091.47,19,0,0,461.57
38.0,82653.94,5.51,10,1,1,308.11
36.0,43599.23,1087.08,18,1,0,269.01
27.0,63576.37,158.37,14,0,0,114.26
61.0,77695.81,19.88,15,0,0,177.97
43.0,121705.65,941.25,17,0,0,384.34
18.0,35054.86,997.06,9,0,0,150.15
37.0,100064.41,453.46,10,1,0,276.49
27.0,74497.86,427.17,16,1,0,262.31
45.0,90945.76,838.65,17,0,0,265.38
25.0,67450.13,771.61,10,1,1,291.68
34.0,48939.18,1104.12,24,1,0,300.44
41.0,88771.82,402.32,9,0,0,191.19
45.0,86360.78,1715.53,20,0,0,362.07
21.0,94301.42,2779.43,19,1,0,443.13
31.0,69667.38,61.96,22,0,0,104.69
29.0,55004.45,947.04,13,0,0,265.8
27.0,31030.33,346.4,19,0,0,98.42
56.0,90484.33,245.16,10,0,0,255.78
40.0,80597.24,474.76,17,1,0,111.91
20.0,45855.43,28.8,11,0,0,147.75
46.0,56535.66,353.08,14,1,0,134.35
60.0,58331.03,1023.55,15,0,0,145.07
47.0,32925.39,120.06,15,0,0,192.09
18.0,49557.94,277.9,13,1,0,180.96
29.0,41654.24,1402.4,15,1,0,254.91
50.0,59688.02,279.8,22,1,0,215.83
27.0,51532.56,221.87,17,0,0,153.63
40.0,29324.88,290.39,12,0,0,73.76
44.0,120564.76,366.41,18,1,0,283.02
24.0,101313.52,499.82,12,1,0,244.69
34.0,50524.51,806.45,16,0,0,174.68
18.0,76810.53,300.83,9,1,0,152.82
