prior_score,attendance_rate,parental_income,class_size,learning_disability,after_school_tutoring,final_score
70.8,67.7,37833.66,15,0,0,78.7
68.1,76.0,41838.6,15,0,1,100.0
73.1,87.5,23619.29,35,0,0,73.5
72.8,97.8,63838.89,16,0,0,92.4
61.5,66.2,67405.26,18,0,0,73.0
61.4,82.7,45607.94,31,0,0,78.1
50.4,75.7,30202.87,16,0,1,85.4
54.5,88.6,73386.35,21,0,0,74.9
64.1,65.5,78671.79,39,0,0,73.7
68.0,74.2,62899.35,36,1,0,67.0
75.7,70.0,61131.39,24,0,0,89.8
74.1,72.7,80577.26,24,0,0,80.1
88.4,85.1,57083.23,27,0,0,86.7
50.4,96.3,37839.96,19,0,1,85.9
61.5,90.4,57806.59,21,1,0,66.6
51.7,88.3,49216.0,39,0,0,69.7
84.2,79.7,57805.68,28,0,0,90.8
57.5,84.1,93165.54,32,0,0,77.4
82.3,82.0,32825.49,36,1,0,72.9
86.8,91.7,65430.07,33,0,0,100.0
71.2,72.7,32006.92,34,0,0,80.6
69.4,89.8,37831.97,35,0,1,92.7
65.6,85.2,131520.61,35,0,0,86.5
60.2,63.7,75256.17,24,0,0,79.9
58.4,96.5,64891.41,22,1,0,66.5
62.8,87.2,26128.03,35,0,0,73.7
92.4,89.9,53216.82,16,0,0,95.5
49.4,89.8,21239.22,28,0,0,73.2
68.1,84.9,60999.83,16,0,0,85.0
75.7,83.6,32097.01,26,1,0,70.0
60.7,71.1,79135.9,31,0,0,86.7
71.2,88.3,64903.18,32,0,0,79.3
42.4,87.2,32596.29,31,0,1,85.0
84.9,95.7,72460.48,29,0,0,100.0
82.0,66.1,170534.71,17,0,0,97.7
63.5,79.7,54102.59,35,0,0,74.9
51.8,80.1,92981.1,33,0,0,75.8
76.9,87.1,20920.96,37,0,0,83.3
47.8,81.2,75648.13,25,0,0,66.4
49.9,46.2,45042.58,32,1,1,79.6
64.2,73.0,52338.77,35,0,0,71.3
87.8,82.8,80624.45,17,0,0,89.2
74.6,95.0,53011.24,32,0,0,87.5
55.3,72.0,26669.64,18,0,0,64.7
39.8,85.0,128490.49,23,0,0,72.2
65.6,85.9,28995.61,39,0,0,78.2
68.8,84.5,39349.26,20,0,0,81.7
63.9,90.9,63835.15,21,1,1,100.0
92.1,80.8,64133.16,15,0,0,100.0
63.0,59.6,74160.45,17,0,0,79.0
30.8,76.4,63999.74,29,0,0,60.5
58.9,65.8,106320.13,16,0,0,82.4
71.8,86.1,76507.9,23,0,0,86.5
70.8,51.8,33095.41,22,0,1,90.2
62.3,81.4,16333.2,33,0,1,90.1
59.9,75.8,64572.5,28,0,0,73.2
35.0,64.8,124625.86,38,0,0,73.6
66.3,89.4,32010.32,24,0,0,74.3
59.9,70.2,35419.77,38,0,1,93.4
68.7,80.6,71498.22,25,0,0,86.9
72.4,76.0,76228.95,22,0,0,88.4
83.6,75.4,104939.82,18,0,0,95.1
50.7,54.4,136019.72,37,0,0,67.6
45.6,81.3,67375.88,22,0,0,71.3
56.4,88.7,37671.14,24,0,0,76.1
54.0,83.5,38251.64,29,0,1,100.0
52.6,75.4,45623.87,27,0,1,92.2
86.7,72.6,100268.24,19,0,0,97.1
67.2,93.2,46628.08,39,0,1,97.4
94.6,57.9,96837.41,29,0,0,94.1
65.0,84.1,27933.53,39,0,0,77.0
47.4,90.0,69118.68,17,0,1,96.3
52.9,98.1,41128.39,17,0,0,70.9
80.4,74.6,77734.51,38,0,0,85.7
48.0,87.9,52673.24,27,0,0,65.5
73.4,65.2,89211.51,37,0,0,85.7
59.6,83.2,48172.48,23,0,0,81.5
51.1,84.6,59101.61,16,0,0,59.3
85.8,82.7,89683.38,29,0,1,100.0
56.2,86.3,56900.2,32,0,0,83.4
52.6,77.6,61645.48,37,0,0,74.2
63.8,96.2,87573.84,22,0,0,87.0
57.4,81.1,57619.92,17,0,1,88.2
98.2,47.9,27108.27,15,1,1,100.0
80.9,67.1,45002.79,21,0,1,98.8
56.1,72.8,22885.87,20,0,0,73.3
57.9,63.7,52840.28,15,0,1,100.0
34.7,97.5,75785.05,23,0,1,83.0
67.1,66.7,63722.89,25,0,0,85.6
53.8,72.8,120250.04,36,0,0,74.7
66.3,75.7,113701.76,19,1,0,81.5
35.5,93.3,68075.17,17,0,0,63.0
64.6,98.8,18104.39,23,0,1,91.1
90.5,76.9,83756.79,21,0,0,100.0
65.8,85.0,40706.67,34,0,0,69.7
53.4,68.2,93024.13,27,0,0,69.3
64.7,77.0,70005.23,15,0,0,76.8
64.0,82.7,83120.1,34,0,0,77.4
97.9,80.6,76944.12,17,0,0,100.0
60.0,77.0,197815.58,20,0,0,92.7
47.0,96.1,77698.53,25,0,0,73.0
65.3,70.2,31568.97,31,0,1,87.2
67.9,86.8,102299.11,29,0,0,85.5
73.4,76.1,48280.28,18,0,0,76.7
76.3,75.9,117312.49,15,1,0,75.6
94.3,77.0,129500.82,15,0,0,100.0
56.1,72.7,81709.27,20,0,0,67.8
54.7,58.5,31608.56,36,0,1,84.5
37.2,82.4,47564.43,23,0,0,64.9
74.9,98.7,117052.26,28,0,0,94.3
51.7,84.3,162673.64,28,0,0,76.4
78.4,89.9,61757.03,21,0,0,87.4
57.6,81.4,52187.6,20,0,0,79.3
90.9,83.8,33187.76,33,0,0,97.8
43.5,89.4,33405.48,17,1,0,50.2
80.3,90.4,67264.71,19,0,0,94.0
78.6,86.6,84997.24,36,0,0,85.9
72.9,55.3,28461.92,20,0,1,97.6
48.2,77.2,90641.59,22,0,0,78.1
73.0,47.4,118911.96,38,0,0,69.5
66.9,94.4,82067.31,27,0,0,80.5
37.5,79.9,136821.29,27,1,0,62.2
88.4,73.1,71520.18,15,0,0,82.8
59.8,90.7,71874.97,33,0,0,85.9
87.2,77.3,71191.69,35,0,0,94.0
64.0,61.8,118150.15,23,0,0,73.1
79.7,90.0,78340.48,18,0,0,97.4
52.1,81.1,45941.45,19,0,1,95.3
68.2,84.8,73992.27,31,0,0,85.6
67.2,60.4,74363.74,21,1,0,70.4
60.1,85.9,53843.29,32,0,1,98.2
52.0,85.5,99836.75,27,0,0,70.5
19.0,77.9,62676.57,15,0,0,53.1
52.3,81.2,85190.36,28,0,0,69.7
75.5,38.9,77256.02,28,0,0,84.0
44.1,98.5,41652.35,27,0,0,67.8
47.2,87.4,36688.73,32,0,0,55.2
43.5,86.0,41871.82,22,0,1,79.2
68.1,80.2,57493.14,15,0,0,81.1
51.6,79.9,132689.03,29,0,0,74.6
83.3,54.2,58471.46,31,0,0,81.1
76.0,49.1,72177.04,31,0,0,75.8
68.0,81.7,92642.93,16,0,0,80.6
69.6,84.6,50039.77,28,0,0,82.7
53.6,68.7,48662.49,15,0,1,92.3
53.6,70.7,101294.72,16,0,0,76.1
75.7,87.1,79545.55,21,0,0,92.0
78.7,72.3,45161.74,15,0,0,85.0
75.5,95.6,48719.14,24,0,0,79.2
57.9,70.8,62483.53,32,0,1,97.9
59.1,67.6,70601.77,17,0,1,99.7
51.0,76.7,111523.3,32,0,0,77.0
76.5,87.6,78119.7,33,0,0,81.8
35.6,88.0,36616.23,27,0,0,52.5
31.9,76.9,40411.14,37,1,1,69.8
34.9,85.0,69902.82,16,0,1,97.1
32.9,80.5,64304.86,17,0,0,62.4
85.4,64.3,39262.06,36,1,1,92.4
76.8,93.0,101361.49,18,0,0,93.6
47.0,94.8,19458.4,31,0,1,84.7
63.4,66.4,70814.0,22,0,0,75.9
87.0,78.4,27626.2,37,0,1,100.0
72.5,82.5,92999.48,22,0,0,84.2
96.7,89.1,52444.2,39,0,0,91.1
63.3,79.8,87017.39,39,0,0,79.3
55.2,63.8,49242.03,17,0,0,65.3
48.8,71.9,116177.19,29,0,0,77.8
65.4,83.2,23555.16,25,0,0,78.2
79.0,84.6,92943.29,23,0,0,90.8
66.5,97.1,44182.14,25,0,0,77.6
59.6,71.0,72225.61,20,0,0,78.6
83.8,86.5,73758.02,24,0,0,96.2
72.9,92.4,29845.5,24,0,0,80.5
63.3,82.1,98588.26,32,0,0,82.8
53.5,88.0,72900.53,27,0,0,70.0
61.2,82.7,63479.39,31,0,0,77.3
72.1,63.3,72590.48,18,0,0,77.3
53.3,49.6,63743.07,39,0,0,61.9
46.5,75.6,90884.02,32,0,0,73.2
57.8,71.1,47301.1,15,0,0,78.0
64.3,70.3,90952.43,32,0,0,71.5
85.4,93.0,79709.89,21,0,0,95.0
47.6,85.0,54939.68,19,0,0,72.5
68.4,86.8,150711.44,30,0,0,85.3
60.8,83.9,75041.82,19,0,0,76.9
61.6,79.6,66005.94,24,0,0,79.8
88.1,88.7,79776.19,30,0,0,92.9
66.2,83.9,56818.45,18,0,0,73.7
51.3,96.9,109157.85,15,0,0,77.9
78.3,96.3,59238.16,22,0,0,88.9
77.2,78.9,90193.64,15,0,0,97.4
