distance,package_weight,driver_experience,traffic_index,is_rush_hour,weather_bad,ai_optimized_route,delivery_time
26.55,8.4,8,3.7,0,0,0,80.5
70.07,1.37,3,4.1,0,0,0,148.4
151.3,21.52,9,7.6,0,0,1,247.4
64.89,3.68,3,8.2,0,0,1,115.0
71.95,4.82,2,4.8,0,0,0,137.6
62.05,11.4,3,2.5,0,0,0,131.1
91.79,3.69,3,4.9,0,0,0,165.8
17.25,11.32,7,8.7,1,1,0,106.3
242.06,6.06,5,2.1,0,0,1,331.3
79.44,3.58,4,1.8,0,0,0,143.5
70.92,10.36,5,10.0,0,1,0,160.1
4.69,3.97,4,3.3,0,0,0,63.8
20.26,7.18,3,7.9,0,1,0,116.0
14.61,1.93,4,5.3,0,0,0,36.2
5.94,28.75,4,8.2,0,0,0,79.3
122.66,1.66,8,8.2,0,0,0,215.0
47.09,6.43,5,2.1,0,0,0,94.3
113.62,15.48,6,8.6,0,1,0,256.4
38.0,22.53,8,2.5,1,0,0,73.7
120.81,6.92,1,4.0,1,0,1,175.7
130.26,4.44,6,3.0,0,0,0,228.8
52.84,8.6,8,7.1,0,0,0,162.5
34.76,1.65,7,8.4,1,1,0,121.5
12.53,0.75,1,8.0,0,0,0,50.6
122.72,7.44,4,3.0,0,0,0,196.3
75.63,9.44,5,3.6,1,0,1,131.2
20.44,7.89,3,2.7,0,0,0,61.1
55.03,9.27,4,5.7,1,1,0,153.2
47.22,31.0,8,5.9,1,0,0,151.0
5.69,7.63,3,6.1,0,1,0,64.3
133.77,11.61,6,5.4,0,0,0,246.7
1.0,4.67,6,8.4,0,1,0,59.8
88.05,2.22,8,4.1,0,1,0,166.9
35.81,16.55,5,4.7,0,0,0,89.1
87.36,0.8,4,6.6,0,0,0,153.4
40.56,1.18,6,3.9,0,0,0,65.4
8.32,39.91,7,4.3,1,0,0,61.3
32.09,12.92,5,6.8,1,1,0,116.4
105.53,9.96,6,6.1,0,0,0,211.0
13.04,48.06,5,5.7,1,0,1,41.8
6.38,14.01,2,1.7,1,1,0,78.4
26.76,3.1,1,7.1,0,0,0,91.8
83.3,3.88,3,8.7,0,0,0,172.7
61.13,31.9,6,9.7,0,0,0,162.9
286.4,6.35,8,8.9,0,0,1,412.5
106.13,6.91,10,1.7,0,0,0,155.7
9.4,1.81,4,9.7,1,0,0,82.0
77.54,3.93,5,1.8,1,0,1,98.0
63.31,7.1,8,7.8,1,0,0,151.7
10.87,26.28,2,1.7,0,0,0,68.1
75.78,36.65,4,1.9,1,0,1,104.6
13.89,11.35,7,3.2,0,0,0,35.0
30.39,14.12,6,5.6,0,0,0,83.7
16.24,5.28,10,3.9,0,1,0,78.1
30.01,3.07,6,7.6,1,0,1,51.1
17.97,5.83,4,7.7,0,0,0,84.5
53.81,13.94,3,6.2,0,0,0,101.2
81.0,2.29,3,3.8,0,0,0,163.4
1.0,2.49,4,1.7,0,0,1,27.0
25.76,16.47,5,6.5,1,0,1,61.7
7.86,1.07,6,1.5,0,0,0,16.9
1.0,1.91,5,5.3,0,0,0,30.8
204.21,6.03,7,5.1,0,1,1,321.0
56.0,75.45,5,9.3,0,0,0,149.8
30.1,3.94,2,8.1,0,0,0,117.0
28.19,9.69,8,8.2,0,1,0,97.4
91.9,6.14,3,1.2,0,0,0,186.0
42.29,6.77,4,7.7,0,0,0,107.0
69.12,0.87,8,3.5,1,0,1,78.5
126.55,30.86,7,3.5,1,0,1,186.0
107.52,3.11,7,1.7,0,0,0,177.1
4.99,1.96,8,1.8,0,0,0,12.8
33.27,80.9,7,4.4,1,0,0,97.5
50.19,4.86,3,9.9,0,0,0,130.3
31.11,29.58,0,4.1,0,0,0,120.0
17.14,2.32,6,1.8,1,0,0,83.1
124.11,19.4,3,6.0,0,0,0,276.8
114.45,17.77,2,8.0,0,0,0,231.4
92.21,6.01,7,7.7,1,0,0,206.0
135.44,9.08,7,9.2,0,0,0,253.0
67.94,3.15,3,5.6,1,0,1,115.2
24.7,20.65,3,8.6,0,0,0,109.5
34.43,6.71,8,1.3,0,0,0,70.0
86.87,1.67,6,9.1,0,0,0,184.5
120.71,13.36,1,2.9,0,0,0,220.3
55.5,8.35,2,2.2,0,0,1,92.7
43.51,8.74,5,9.1,0,0,0,136.8
111.64,1.44,4,1.7,0,0,1,138.9
69.32,51.99,2,6.5,0,0,0,165.9
122.23,6.85,8,5.9,0,0,1,173.9
107.27,7.89,6,1.1,0,0,1,147.8
19.93,7.1,8,7.7,0,0,0,82.4
7.02,20.49,6,3.9,0,0,0,32.3
60.56,24.65,8,1.4,0,0,0,78.1
135.73,10.76,8,1.8,0,0,1,205.8
120.11,36.15,6,3.6,0,0,0,220.3
126.28,11.1,8,6.9,1,0,0,251.6
102.43,5.61,2,7.6,1,0,1,160.3
28.84,4.0,1,9.0,0,0,0,100.9
137.88,9.28,4,5.9,0,0,1,215.0
50.68,0.37,3,4.7,0,1,1,111.8
88.69,6.26,2,8.9,1,1,1,176.7
17.77,5.75,8,4.5,1,0,1,31.1
34.66,3.47,6,5.3,0,0,0,70.4
6.25,7.15,4,4.6,0,0,0,40.3
8.37,11.38,6,7.2,0,0,0,38.1
82.32,13.17,4,7.3,1,0,0,178.0
144.06,8.29,4,6.0,0,0,1,215.6
37.5,7.86,7,6.8,0,1,0,113.8
33.26,38.91,11,2.2,0,0,0,63.7
142.54,35.17,5,8.2,0,0,1,227.2
88.96,4.62,5,7.7,0,0,0,176.5
10.09,23.08,8,1.8,1,1,1,41.7
2.14,3.28,6,6.3,1,0,0,50.3
149.98,7.59,4,3.7,0,0,1,213.2
38.87,3.36,6,7.5,1,0,1,72.2
51.98,13.1,8,9.8,0,0,0,123.5
37.85,3.39,5,1.8,0,0,1,70.9
67.09,7.88,3,6.8,1,0,0,177.1
113.92,8.99,8,8.3,1,0,0,226.9
254.04,3.44,3,2.9,0,0,1,349.9
22.6,12.31,4,2.7,0,1,0,98.7
36.65,32.59,4,5.9,1,1,0,127.0
107.5,9.64,4,2.6,0,0,0,170.3
28.61,11.77,10,4.8,0,0,0,55.3
22.24,35.23,6,4.5,0,0,0,110.7
173.59,4.11,6,5.3,1,0,1,242.9
65.82,15.83,6,8.7,0,0,0,148.9
35.36,10.12,2,9.3,1,0,0,146.5
79.46,11.21,3,8.9,0,1,0,227.9
19.21,9.59,5,3.8,0,0,0,46.4
44.48,5.77,3,7.8,0,0,1,78.5
62.02,5.52,8,4.3,0,0,1,91.5
62.93,14.58,5,9.4,1,0,1,115.3
10.9,29.99,4,3.8,1,0,0,67.5
262.34,7.79,9,2.8,1,1,1,397.3
70.11,14.51,5,8.5,1,0,1,132.6
67.94,13.36,5,3.7,0,1,1,120.4
44.08,15.04,1,6.9,0,0,0,98.8
20.99,3.87,7,5.7,0,0,0,54.2
33.53,7.11,8,2.7,0,1,0,84.5
27.74,2.86,6,7.3,1,0,0,70.1
6.08,6.89,4,6.3,0,0,0,35.8
129.36,3.78,6,4.8,0,0,0,194.1
35.43,8.35,2,5.6,1,0,0,117.2
2.2,1.44,3,1.4,0,0,0,21.5
27.19,3.75,5,5.2,0,1,0,109.2
27.29,4.67,8,2.5,0,0,0,27.6
